Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat
18/05/2023;3:08:21;7,23231E+11;ME2313840355;;-210;3;FAIL
18/05/2023;3:08:51;22375420447;ME2313840336;;0;2;PASS
18/05/2023;3:09:20;22375420684;ME2313840284;;0;1;PASS
18/05/2023;3:11:04;22375420688;ME2313840330;;0;8;PASS
18/05/2023;3:11:33;22375421133;ME2313840181;;0;7;PASS
18/05/2023;3:12:02;22375421168;ME2313840363;;0;6;PASS
18/05/2023;3:12:31;22375420278;ME2313840360;;0;5;PASS
18/05/2023;3:13:00;4,23231E+11;ME2313840319;;-233;4;FAIL
18/05/2023;3:13:42;;;;-199;4;FAIL
18/05/2023;3:14:15;7,23231E+11;ME2313840355;;-210;3;FAIL
18/05/2023;3:14:44;22375420294;ME2313840147;;0;2;PASS
18/05/2023;3:15:18;22375420296;ME2313840180;;0;1;PASS
18/05/2023;3:15:49;22375421124;ME2313840083;;-502;8;FAIL
18/05/2023;3:16:18;22375421127;ME2313840375;;0;7;PASS
18/05/2023;3:16:47;22375421130;ME2313840376;;0;6;PASS
18/05/2023;3:17:18;7,23231E+11;ME2313840373;;-243;5;FAIL
18/05/2023;3:17:48;4,23231E+11;ME2313840319;;-233;4;FAIL
18/05/2023;3:18:18;22375421144;ME2313840402;;0;3;PASS
18/05/2023;3:18:47;22375420211;ME2313840405;;0;2;PASS
18/05/2023;3:19:15;22375420212;ME2313840399;;0;1;PASS
18/05/2023;3:19:46;22375421124;ME2313840083;;0;8;PASS
18/05/2023;3:20:13;7,23231E+11;;;-107;8;FAIL
18/05/2023;3:20:46;22375420288;ME2313840403;;0;7;PASS
18/05/2023;3:21:18;22375420455;ME2313840410;;0;6;PASS
18/05/2023;3:21:47;22375420461;ME2313840322;;0;5;PASS
18/05/2023;3:22:15;22375420696;ME2313840404;;0;4;PASS
18/05/2023;3:22:45;22375421136;ME2313840417;;0;3;PASS
18/05/2023;3:23:22;22375421138;ME2313840414;;0;2;PASS
18/05/2023;3:23:46;22375420720;;;-156;2;FAIL
18/05/2023;3:24:19;4,23231E+11;ME2313840415;;-208;1;FAIL
18/05/2023;3:24:49;22375421154;ME2313840420;;0;8;PASS
18/05/2023;3:25:20;22375420215;ME2313840319;;0;7;PASS
18/05/2023;3:25:52;22375420218;ME2313840440;;0;6;PASS
18/05/2023;3:26:21;22375420223;ME2313840372;;0;5;PASS
18/05/2023;3:26:50;22375420231;ME2313840449;;0;4;PASS
18/05/2023;3:27:23;22375420484;ME2313840133;;0;3;PASS
18/05/2023;3:27:52;22375420459;ME2313840447;;0;2;PASS
18/05/2023;3:28:21;22375420465;ME2313840454;;0;1;PASS
18/05/2023;3:28:54;4,23231E+11;ME2313840415;;-208;8;FAIL
18/05/2023;3:29:24;22375420472;ME2313840475;;0;7;PASS
18/05/2023;3:29:54;22375420695;ME2313840398;;0;6;PASS
18/05/2023;3:30:25;22375420699;ME2313840378;;0;5;PASS
18/05/2023;3:30:53;4,23231E+11;ME2313840452;;-233;4;FAIL
18/05/2023;3:31:23;22375420227;ME2313840458;;0;3;PASS
18/05/2023;3:31:53;22375420463;ME2313840467;;0;2;PASS
18/05/2023;3:32:20;22375420467;ME2313840457;;0;1;PASS
18/05/2023;3:33:04;22375420469;ME2313840374;;0;8;PASS
18/05/2023;3:33:31;22375420631;ME2313840466;;0;7;PASS
18/05/2023;3:34:16;22375420634;ME2313840401;;0;6;PASS
18/05/2023;3:34:51;22375420871;ME2313840463;;0;5;PASS
18/05/2023;3:36:25;4,23231E+11;ME2313840452;;-233;4;FAIL
18/05/2023;3:37:13;;;;-199;4;FAIL
18/05/2023;3:37:46;22375420874;ME2313840464;;0;3;PASS
18/05/2023;3:38:18;22375420400;ME2313840481;;0;2;PASS
18/05/2023;3:38:48;22375420403;ME2313840472;;0;1;PASS
18/05/2023;3:39:17;22375420638;ME2313840415;;0;8;PASS
18/05/2023;3:39:47;22375420645;ME2313840448;;0;7;PASS
18/05/2023;3:40:17;22375420809;ME2313840050;;0;6;PASS
18/05/2023;3:41:02;;;;-199;6;FAIL
18/05/2023;3:41:32;22375420879;ME2313840501;;0;5;PASS
18/05/2023;3:42:01;4,23231E+11;ME2313840530;;-233;4;FAIL
18/05/2023;3:42:30;22375420883;ME2313840537;;0;3;PASS
18/05/2023;3:43:01;22375420890;ME2313840527;;0;2;PASS
18/05/2023;3:43:28;22375420801;ME2313840528;;0;1;PASS
18/05/2023;3:43:58;22375420804;ME2313840529;;0;8;PASS
18/05/2023;3:44:27;22375420805;ME2313840499;;0;7;PASS
18/05/2023;3:44:55;22375420808;ME2313840500;;0;6;PASS
18/05/2023;3:45:24;22375420811;ME2313840538;;0;5;PASS
18/05/2023;3:45:52;22375420814;ME2313840530;;0;4;PASS
18/05/2023;3:46:22;22375420816;ME2313840556;;0;3;PASS
18/05/2023;3:46:50;22375420818;ME2313840546;;0;2;PASS
18/05/2023;3:47:28;22375420821;ME2313840564;;0;1;PASS
18/05/2023;3:47:57;22375420823;ME2313840566;;0;8;PASS
18/05/2023;3:48:28;22375420825;ME2313840565;;0;7;PASS
18/05/2023;3:49:03;22375420885;ME2313840571;;0;6;PASS
18/05/2023;3:49:28;22375420299;ME2313840572;;0;5;PASS
18/05/2023;3:49:59;22375420828;ME2313840576;;0;4;PASS
18/05/2023;3:50:28;22375421092;ME2313840547;;0;3;PASS
